CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15565701,Durand,491,Germany,Female,64,0,69961.27,2,1,1,35473.57,0
15565702,Martin,708,France,Male,37,7,0.0,2,1,0,169355.41,0
15565703,Schulz,585,France,Female,43,4,148655.58,4,0,1,65295.28,1
15565704,Lopez,499,Germany,Male,40,4,139021.6,2,1,0,154741.83,0
15565705,Garcia,573,Spain,Female,58,7,53728.63,1,1,0,20522.28,1
15565706,Dubois,664,Spain,Male,46,7,0.0,2,0,1,69515.48,0
15565707,Schulz,630,France,Female,40,8,90870.47,1,1,0,147525.03,0
15565708,Mueller,537,France,Male,53,10,162783.96,2,1,1,195597.79,0
15565709,Durand,486,France,Female,40,3,58779.17,1,0,0,86359.27,0
15565710,Meyer,657,France,Female,26,2,0.0,1,1,1,56216.64,0
15565711,Gomez,594,France,Female,48,9,183955.96,2,1,0,175509.12,1
15565712,Schneider,625,Spain,Male,56,10,0.0,2,0,0,169854.54,0
15565713,Garcia,634,Germany,Male,52,1,88060.98,1,1,0,113439.18,0
15565714,Garcia,691,France,Female,45,0,123643.47,1,1,1,60648.78,0
15565715,Fischer,731,France,Male,25,9,90961.54,2,0,1,68627.11,0
15565716,Mueller,664,Germany,Male,28,4,86906.28,2,1,0,102874.55,0
15565717,Petit,619,Germany,Female,47,5,166594.72,2,1,0,196619.94,0
15565718,Dubois,652,France,Male,35,7,141519.9,1,1,0,31093.64,0
15565719,Fischer,617,Spain,Male,23,5,123750.42,1,1,1,79144.26,0
15565720,Thomas,492,France,Female,54,1,127746.95,1,1,1,173577.94,0
15565721,Schmidt,754,France,Male,34,7,0.0,1,1,1,192733.33,0
15565722,Mueller,736,France,Male,60,4,116888.22,1,0,1,19621.17,1
15565723,Bernard,840,Germany,Male,43,2,165575.9,2,1,1,121967.44,0
15565724,Fischer,850,France,Male,33,5,150855.4,1,1,0,124822.87,0
15565725,Rodriguez,537,France,Female,43,5,134299.96,1,1,1,105871.47,0
15565726,Hoffmann,617,France,Male,36,2,138526.45,1,1,1,18194.01,0
15565727,Richard,850,Germany,Female,38,6,157597.42,1,1,1,70348.26,0
15565728,Bernard,646,France,Male,37,6,75214.42,2,1,0,93648.14,1
15565729,Becker,673,France,Male,50,6,113767.51,1,1,1,102665.52,0
15565730,Mueller,503,France,Male,55,7,140765.35,2,0,1,193464.3,0
15565731,Martin,664,France,Male,42,10,127055.53,1,1,1,67909.95,0
15565732,Rodriguez,835,Germany,Female,32,6,150384.18,2,1,1,21239.5,0
15565733,Meyer,773,France,Male,40,3,0.0,2,1,1,32813.72,0
15565734,Schmidt,591,France,Female,58,4,0.0,2,0,1,76994.67,0
15565735,Schulz,611,Germany,Female,38,3,125784.68,1,0,1,157914.28,1
15565736,Rodriguez,541,France,Female,50,1,91754.98,2,0,0,125370.34,0
15565737,Weber,568,France,Male,41,6,36714.46,1,0,0,158571.0,0
15565738,Sanchez,466,France,Male,34,2,135805.95,2,1,0,184507.31,0
15565739,Wagner,641,Spain,Female,31,0,82380.15,2,1,1,32957.3,0
15565740,Wagner,794,Germany,Female,47,0,150763.8,2,1,0,110189.48,0
15565741,Laurent,684,Spain,Female,42,8,0.0,1,0,1,128691.44,0
15565742,Becker,781,Spain,Male,28,10,0.0,2,0,1,89197.94,0
15565743,Becker,753,Spain,Female,49,2,145149.8,2,1,0,96037.71,0
15565744,Martinez,597,Spain,Female,40,6,125542.54,1,1,0,26018.44,0
15565745,Lopez,577,Germany,Male,59,8,145101.46,1,0,0,21146.5,1
15565746,Hoffmann,580,France,Female,23,6,122725.33,1,0,1,18162.4,0
15565747,Hoffmann,485,France,Male,44,10,45423.83,2,0,1,134575.2,0
15565748,Lopez,653,Germany,Male,41,7,106237.57,2,1,1,29160.31,0
15565749,Hoffmann,371,Spain,Female,43,5,91870.33,2,1,0,80013.53,0
15565750,Gomez,706,France,Male,31,10,0.0,1,1,0,184243.82,0
15565751,Rodriguez,656,Germany,Male,20,2,75552.62,2,1,0,41872.3,0
15565752,Schneider,695,France,Male,30,0,66845.34,1,0,1,99840.74,0
15565753,Martin,751,France,Male,40,9,0.0,2,1,1,148595.83,0
15565754,Weber,669,France,Male,39,7,0.0,1,0,0,57051.63,0
15565755,Thomas,806,Germany,Female,49,5,100568.15,1,1,0,14149.5,1
15565756,Robert,709,France,Male,37,1,102796.05,1,1,0,157797.87,0
15565757,Gomez,577,Germany,Male,73,9,70330.86,1,1,1,148458.61,0
15565758,Durand,627,Spain,Female,34,7,115776.5,1,1,1,196197.44,0
15565759,Mueller,432,Spain,Male,66,3,92443.36,1,0,1,125233.45,0
15565760,Moreau,563,France,Male,48,9,0.0,1,0,0,68740.48,0
15565761,Durand,613,Spain,Male,48,8,93388.77,1,0,0,34644.73,0
15565762,Perez,702,France,Male,33,8,0.0,2,1,1,28792.72,0
15565763,Petit,577,France,Male,63,8,0.0,2,0,0,131199.96,0
15565764,Weber,530,Germany,Male,53,3,100150.43,1,1,0,76371.7,0
15565765,Becker,468,France,Male,52,5,147091.01,3,1,1,168061.77,0
15565766,Fernandez,592,France,Female,35,3,98449.09,2,1,1,33659.45,0
15565767,Perez,837,France,Male,21,9,0.0,1,1,0,193160.49,0
15565768,Meyer,676,Germany,Female,48,9,141697.22,2,1,0,21364.87,1
15565769,Moreau,740,France,Female,43,4,0.0,2,1,0,158549.25,0
15565770,Meyer,563,Germany,Male,24,6,130352.89,2,0,1,157801.19,0
15565771,Mueller,498,Germany,Female,36,6,169177.76,1,0,1,126503.7,1
15565772,Bernard,532,Germany,Male,35,9,98487.48,1,0,0,198587.18,0
15565773,Martin,640,Spain,Male,47,5,120952.45,2,1,1,10856.75,0
15565774,Becker,458,France,Male,47,9,0.0,1,1,0,98383.12,0
15565775,Lopez,553,France,Female,18,3,59620.0,1,1,0,30098.16,1
15565776,Becker,593,France,Male,37,4,0.0,2,0,0,107821.44,0
15565777,Durand,523,France,Male,45,4,122033.07,2,1,1,47168.63,0
15565778,Rodriguez,446,Germany,Male,21,8,125348.18,3,0,0,94819.43,1
15565779,Schulz,677,France,Female,39,10,125770.93,1,1,0,17224.37,0
15565780,Dubois,654,France,Male,35,5,149640.68,2,1,0,96121.34,1
15565781,Lopez,724,Spain,Male,38,3,146438.09,1,1,0,136688.19,0
15565782,Thomas,543,Germany,Male,49,5,146133.06,2,0,1,177008.48,0
15565783,Fernandez,722,Germany,Female,54,6,100809.93,1,1,1,186201.81,1
15565784,Sanchez,796,Spain,Male,30,6,0.0,2,1,0,77138.6,0
15565785,Petit,675,Spain,Male,24,9,96862.15,2,1,0,163464.43,0
15565786,Perez,591,Germany,Female,56,2,74602.76,1,1,1,177054.4,1
15565787,Dubois,663,France,Male,22,5,125427.24,1,0,0,194217.55,0
15565788,Petit,586,Spain,Female,43,10,0.0,1,1,0,93518.48,0
15565789,Bernard,570,Germany,Female,42,6,113799.53,2,0,1,165717.01,0
15565790,Hoffmann,715,France,Female,64,0,0.0,3,1,1,59471.48,0
15565791,Richard,636,France,Male,54,3,125122.81,2,1,0,155800.61,0
15565792,Schmidt,765,Germany,Male,37,6,102378.32,2,1,1,161922.87,0
15565793,Laurent,607,Spain,Male,37,9,0.0,1,1,0,172201.07,1
15565794,Petit,617,France,Female,18,0,75474.05,2,1,0,164497.26,0
15565795,Schmidt,595,France,Female,51,7,0.0,2,1,1,159378.71,0
15565796,Schulz,542,Spain,Male,40,5,0.0,1,1,0,139745.73,0
15565797,Perez,728,Spain,Female,37,5,161265.36,1,1,1,31086.25,0
15565798,Meyer,850,France,Female,31,2,120593.32,2,1,0,80688.75,0
15565799,Rodriguez,613,France,Male,18,5,83912.14,1,1,0,56912.9,0
15565800,Bernard,584,Germany,Male,43,3,105057.89,1,0,0,92273.63,0
15565801,Laurent,578,France,Male,35,8,0.0,1,0,0,184153.83,1
15565802,Hoffmann,584,Spain,Male,67,3,0.0,2,1,1,126664.97,0
15565803,Petit,808,France,Female,26,5,0.0,2,0,0,25945.3,0
15565804,Fernandez,581,France,Female,24,10,98328.83,1,1,0,66736.04,0
15565805,Martinez,593,France,Male,43,5,80065.42,1,1,0,171852.14,0
15565806,Lopez,530,France,Male,47,10,0.0,1,0,0,81307.68,0
15565807,Dubois,678,France,Male,34,0,0.0,2,1,0,11368.19,1
15565808,Fernandez,643,France,Female,44,3,126698.16,2,1,1,157333.21,0
15565809,Schneider,540,Spain,Female,39,8,0.0,1,0,1,36727.78,1
15565810,Becker,564,France,Male,45,10,97876.01,1,1,1,33172.0,0
15565811,Weber,797,Spain,Female,39,9,132881.81,1,1,0,127198.75,0
15565812,Hoffmann,653,France,Male,41,5,0.0,1,0,1,118102.72,0
15565813,Dubois,659,Germany,Male,42,3,134994.76,2,1,0,78592.78,0
15565814,Mueller,660,France,Female,78,6,0.0,1,1,1,49455.58,0
15565815,Martinez,783,France,Male,34,9,86329.15,2,1,0,29674.06,0
15565816,Gonzalez,549,Germany,Male,36,6,104357.7,2,0,1,33104.2,0
15565817,Perez,611,Germany,Male,35,4,96756.77,2,1,1,149784.11,0
15565818,Lopez,633,Spain,Male,26,3,0.0,2,1,0,181054.48,0
15565819,Mueller,484,Spain,Female,48,3,103375.64,2,1,1,116772.17,1
15565820,Fischer,562,Germany,Female,37,6,166540.46,1,1,0,132700.59,0
15565821,Meyer,750,France,Female,34,5,140961.25,2,0,1,194902.56,0
15565822,Weber,722,Spain,Male,34,3,139860.66,2,1,1,12972.69,0
15565823,Becker,739,Germany,Male,61,2,64999.99,1,1,1,39625.25,1
15565824,Becker,593,Spain,Male,59,1,143686.79,1,1,1,99332.27,0
15565825,Becker,605,Spain,Female,63,3,105423.68,1,1,0,26720.75,0
15565826,Gonzalez,478,France,Male,35,6,108487.96,2,1,0,59755.93,0
15565827,Moreau,739,France,Female,22,1,125413.66,1,1,1,83667.24,0
15565828,Schulz,755,Germany,Male,37,8,94076.3,1,0,1,144152.55,0
15565829,Lopez,754,Germany,Male,37,8,53428.9,2,1,1,35101.73,0
15565830,Gonzalez,803,Germany,Male,45,5,73225.49,2,1,0,124322.49,1
15565831,Martin,690,Spain,Female,32,8,146936.99,2,1,1,19846.03,0
15565832,Weber,799,France,Male,36,0,120838.63,1,1,1,94977.06,0
15565833,Durand,630,France,Male,36,5,145514.18,1,1,0,28750.46,0
15565834,Moreau,480,France,Male,49,2,0.0,2,0,1,104668.86,0
15565835,Fischer,732,Germany,Male,45,5,0.0,2,1,0,88946.14,0
15565836,Martin,476,Germany,Male,45,4,145919.28,1,0,0,82119.82,0
15565837,Rodriguez,666,France,Male,29,4,99719.05,1,1,0,164346.84,0
15565838,Dubois,741,Germany,Male,67,0,114037.86,1,1,1,108087.36,0
15565839,Fischer,681,France,Male,59,4,127912.34,2,1,1,61633.34,0
15565840,Garcia,850,France,Male,54,10,150992.23,1,1,0,164445.1,0
15565841,Gomez,461,Germany,Male,21,5,185041.71,2,0,1,108940.16,0
15565842,Sanchez,642,France,Female,27,0,97903.19,2,1,0,195349.84,0
15565843,Dubois,651,Germany,Male,42,9,142694.15,1,0,0,104070.38,1
15565844,Thomas,520,Spain,Male,36,6,0.0,2,1,0,166790.09,0
15565845,Thomas,539,Spain,Male,28,0,0.0,2,0,1,10260.18,0
15565846,Martin,568,France,Male,34,6,0.0,2,1,1,57735.69,0
15565847,Wagner,544,France,Female,63,10,143206.17,1,1,0,15610.07,0
15565848,Robert,639,Germany,Female,31,8,103088.8,2,1,1,114137.95,0
15565849,Laurent,592,Spain,Female,58,6,192470.04,1,1,1,99873.21,0
15565850,Durand,680,Spain,Male,38,9,0.0,2,1,1,154096.35,0
15565851,Meyer,712,France,Male,30,4,0.0,1,1,1,31432.23,0
15565852,Moreau,705,France,Male,29,2,85281.28,2,1,1,167776.08,0
15565853,Becker,610,Germany,Female,38,6,139538.28,1,0,0,23712.14,1
15565854,Durand,677,Germany,Male,39,5,117742.12,2,1,1,170502.55,0
15565855,Moreau,749,France,Male,41,7,0.0,1,0,1,114746.6,0
15565856,Dubois,692,France,Female,24,7,148844.88,1,1,0,27344.88,0
15565857,Rodriguez,828,Germany,Male,56,9,151487.53,2,0,1,15884.35,0
15565858,Bernard,744,France,Female,35,10,161510.72,1,1,0,161589.24,0
15565859,Martin,814,France,Male,54,5,0.0,1,0,1,70254.22,0
15565860,Martinez,410,France,Female,27,6,0.0,1,1,0,189571.18,0
15565861,Schneider,659,France,Male,48,2,0.0,3,1,1,197625.7,1
15565862,Schneider,618,Germany,Female,24,3,131428.68,2,1,0,162404.13,0
15565863,Hoffmann,638,France,Male,41,6,157130.59,1,1,1,154839.09,0
15565864,Fischer,572,France,Male,57,5,78360.25,1,1,0,146048.92,1
15565865,Robert,688,France,Male,54,2,141800.03,1,0,0,47774.11,0
15565866,Thomas,476,France,Female,43,9,0.0,2,1,0,39220.74,0
15565867,Rodriguez,688,Germany,Female,44,6,64695.58,2,1,0,86834.68,0
15565868,Dubois,575,France,Male,41,2,157333.41,2,1,1,189588.66,0
15565869,Schmidt,601,Germany,Female,40,9,173093.81,1,1,1,16301.37,0
15565870,Wagner,692,France,Male,20,7,131476.02,1,1,0,165905.19,0
15565871,Thomas,657,France,Male,48,6,0.0,1,1,1,88242.11,0
15565872,Martin,751,France,Male,30,3,141323.69,2,0,0,16151.07,0
15565873,Thomas,556,France,Female,36,0,0.0,1,1,1,43881.86,0
15565874,Robert,642,Germany,Male,43,5,100699.84,2,0,1,196435.08,0
15565875,Lopez,735,France,Male,50,4,156560.27,1,0,1,164883.03,0
15565876,Fernandez,684,Spain,Male,27,8,0.0,1,1,1,167341.15,0
15565877,Thomas,690,France,Male,30,9,99142.93,2,1,0,114309.21,0
15565878,Martin,756,France,Male,59,5,120119.72,2,0,1,17493.93,0
15565879,Robert,611,France,Male,48,0,107023.09,1,0,0,165428.2,1
15565880,Meyer,590,Spain,Male,53,2,98324.52,1,1,0,99962.91,1
15565881,Schneider,705,France,Male,45,1,0.0,2,0,1,145807.99,0
15565882,Fernandez,635,France,Male,38,2,0.0,2,0,0,151694.77,0
15565883,Durand,757,France,Male,50,0,156290.04,2,1,0,17658.29,0
15565884,Wagner,685,France,Female,25,10,0.0,2,1,1,52801.41,0
15565885,Moreau,590,Spain,Male,40,1,0.0,1,0,0,168253.72,0
15565886,Lopez,682,Germany,Female,50,7,76627.21,2,1,1,103360.65,0
15565887,Lopez,563,Spain,Male,39,2,129483.54,3,1,1,16039.45,0
15565888,Meyer,740,Germany,Male,30,8,164423.9,1,1,0,192248.96,0
15565889,Laurent,515,Germany,Male,31,10,0.0,1,1,1,127432.2,0
15565890,Becker,767,France,Female,40,10,0.0,1,1,1,85892.12,0
15565891,Gonzalez,680,Germany,Female,40,3,143314.52,1,1,0,181141.08,1
15565892,Gomez,634,France,Male,19,1,131145.01,2,0,0,35093.72,0
15565893,Durand,723,France,Male,52,6,90731.2,2,1,0,195165.39,0
15565894,Sanchez,699,Germany,Female,32,8,138313.83,1,0,0,59357.22,1
15565895,Martin,777,Spain,Male,27,4,0.0,2,0,0,116514.29,0
15565896,Schulz,776,Germany,Female,40,0,0.0,1,1,1,165423.47,0
15565897,Petit,683,Germany,Male,30,8,98429.37,2,1,0,60456.97,0
15565898,Hoffmann,566,France,Female,35,8,106653.57,1,0,1,65303.56,0
15565899,Robert,598,France,Male,46,6,91859.56,2,1,0,122298.81,0
15565900,Schneider,643,France,Male,41,0,135625.95,2,1,0,24022.54,1
15565901,Durand,753,Germany,Female,36,3,134593.04,2,1,1,154018.62,0
15565902,Gonzalez,606,Spain,Male,33,0,91376.56,1,1,0,68620.08,0
15565903,Lopez,614,France,Male,38,2,0.0,2,1,1,191723.99,0
15565904,Garcia,827,France,Male,35,6,168938.52,1,1,1,64832.32,0
15565905,Schulz,639,France,Male,26,0,73079.04,1,0,1,188829.74,1
15565906,Petit,589,Spain,Male,56,7,0.0,1,1,0,31527.37,0
15565907,Gonzalez,724,Germany,Female,40,9,176084.81,1,1,1,86120.06,0
15565908,Durand,644,France,Female,64,3,0.0,2,0,0,133408.1,0
